,num_of_cluster,co2PerCapita-euclidean,co2PerCapita-dba,co2PerCapita-softdtw
0,2,0.5833060062929425,0.6144673954454216,0.6797403166445796
1,3,0.5641871975996604,0.5985301011475077,0.7207949859184573
2,4,0.5090576676558105,0.5685147253416039,0.7034946631985045
3,5,0.4722072088050267,0.47777590710054246,0.6133050497652599
4,6,0.47431356785166384,0.4789073725392709,0.5252423115498707
5,7,0.44202808003482164,0.49621429073438816,0.5278904777254236
6,8,0.3998912447627329,0.44722551883827555,0.5349841025849426
7,9,0.40101971038919765,0.45802966384840266,0.4939499929644326
8,10,0.40532789394186813,0.4282685593568457,0.500454747663059
9,11,0.4029307884366886,0.3986975160755962,0.5153934622423216
10,12,0.39792062906499587,0.4210053238199163,0.5225261514042507
11,13,0.38256295869844564,0.4202526387526291,0.4653108922438983
12,14,0.38819184727122336,0.40908291905527,0.48147933832745493
13,15,0.38485309394449985,0.4063505476784401,0.47919873421021886
14,16,0.38748779753309825,0.40629975347206515,0.4799386499802321
15,17,0.390909662106113,0.4162844920663241,0.43902871231517937
16,18,0.3898985553595329,0.41510828020428414,0.4455716310652407
17,19,0.3929912368645296,0.41321313647926317,0.4336504525000121
18,20,0.39289552217683765,0.4082798210528898,0.4322746760738268
