Entity,Code,Year,Agriculture ,Land-Use Change and Forestry ,Waste ,Industry ,Manufacturing/Construction energy ,Transport ,Electricity & Heat ,Buildings ,Fugitive from energy production ,Other Fuel Combustion ,Bunker Fuels 
India,IND,1990,566640000.0,-42470000.0,24540000.0,26450000.0,148000000.0,64400000.00000001,232000000.0,56400000.0,36520000.0,70590000.0,5100000.0
India,IND,1991,574020000.0,-42470000.0,25190000.0,29000000.0,152100000.0,66900000.00000001,258900000.0,59300000.0,39080000.0,75850000.0,4900000.0
India,IND,1992,580520000.0,-42470000.0,25850000.0,30060000.0,155100000.0,68500000.0,278600000.0,58600000.0,38630000.0,76410000.0,5000000.0
India,IND,1993,587230000.0,-42470000.0,26500000.0,31900000.0,152700000.0,68600000.0,306700000.0,58900000.0,35060000.0,76060000.0,5400000.0
India,IND,1994,595230000.0,-42470000.0,27160000.0,34290000.0,162400000.0,70800000.0,319800000.0,63500000.0,35270000.0,81420000.0,5800000.0
India,IND,1995,599650000.0,-42470000.0,32900000.0,37750000.0,155700000.0,78300000.0,364900000.0,65400000.00000001,37000000.0,84950000.0,6300000.0
India,IND,1996,607050000.0,-48480000.0,38650000.0,41940000.0,155400000.0,83800000.0,388200000.0,67300000.0,36490000.0,88880000.0,6600000.0
India,IND,1997,612420000.0,-48710000.0,44390000.0,46360000.0,169900000.0,85800000.0,402100000.0,72900000.0,36970000.0,93610000.0,6600000.0
India,IND,1998,619680000.0,-48670000.0,50140000.0,49880000.0,177800000.0,88800000.0,418200000.0,70400000.0,37340000.0,84440000.0,6700000.0
India,IND,1999,623280000.0,-47070000.0,55880000.0,55600000.0,184200000.0,93300000.0,459600000.0,73400000.0,37760000.0,91070000.0,7000000.0
India,IND,2000,617940000.0,-48420000.0,61620000.0,57490000.0,187500000.0,95100000.0,491200000.0,72700000.0,38180000.0,90700000.0,7200000.0
India,IND,2001,623080000.0,-166250000.0,62890000.0,59210000.0,188400000.0,94900000.0,505300000.0,71300000.0,37620000.0,92800000.0,7300000.0
India,IND,2002,607100000.0,-167130000.0,64170000.0,63090000.0,202300000.0,97700000.0,513600000.0,74700000.0,40060000.0,96010000.0,7400000.0
India,IND,2003,618870000.0,-163370000.0,65440000.0,66099999.99999999,189600000.0,99500000.0,536400000.0,76700000.0,43540000.0,101410000.0,8000000.0
India,IND,2004,628600000.0,-159940000.0,66709999.99999999,68610000.0,202200000.0,108000000.0,584700000.0,79000000.0,45550000.0,105310000.0,9100000.0
India,IND,2005,647850000.0,-163600000.0,67980000.0,72540000.0,231500000.0,114700000.0,599600000.0,80000000.0,47940000.0,104910000.0,10500000.0
India,IND,2006,662580000.0,-124250000.0,69250000.0,76400000.0,257800000.0,119700000.0,638800000.0,81300000.0,50110000.0,105160000.0,12300000.0
India,IND,2007,679900000.0,-121720000.0,70530000.0,81150000.0,290000000.0,141800000.0,701200000.0,81600000.0,52560000.0,101800000.0,13900000.0
India,IND,2008,687490000.0,-124400000.0,71800000.0,86190000.0,315900000.0,162000000.0,721300000.0,83300000.0,55000000.0,112250000.0,13800000.0
India,IND,2009,681790000.0,-113780000.0,73070000.0,98630000.0,367500000.0,177300000.0,791000000.0,89600000.0,57660000.0,132890000.0,14700000.0
India,IND,2010,691650000.0,-115040000.0,74340000.0,105420000.0,414200000.0,191300000.0,821000000.0,92800000.0,60050000.0,122230000.0,15600000.0
India,IND,2011,701900000.0,126750000.0,75450000.0,111410000.0,449700000.0,207200000.0,866300000.0,96700000.0,59040000.0,105870000.0,16500000.0
India,IND,2012,696000000.0,133590000.0,76560000.0,117190000.0,433000000.0,219200000.0,995100000.0,96600000.0,58350000.0,118110000.0,15800000.0
India,IND,2013,698360000.0,127370000.0,77670000.0,120950000.0,473800000.0,223700000.0,1004700000.0,98400000.0,57070000.0,112340000.0,16399999.999999998
India,IND,2014,699800000.0,126910000.0,78780000.0,125520000.0,506900000.0,233000000.0,1117000000.0,102900000.0,56110000.0,116880000.0,17100000.0
India,IND,2015,700100000.0,124290000.0,79890000.0,130190000.0,507500000.0,254500000.0,1101800000.0,106900000.0,55200000.0,116720000.0,18500000.0
India,IND,2016,704160000.0,126430000.0,80980000.0,130610000.0,533800000.0,265300000.0,1111300000.0,109200000.0,54950000.0,119040000.0,20400000.0
